11,Item Name,Item Description,Category,Procurement Status,Value,Priceless,Donor,Solicitor,Date Received,Notes,Finance Rcvd
,Justine LeValley,professional make-up for a night out/special event,services,committed,,,,Jennifer Bodily,,,
12,Event Photography & Photobooth from Photography By Busa,Event photography & photobooth services by Photography By Busa,Service,Committed,2299,no,Brandon Busa,Julie Ott,03-22-2018,,
,(2) VIP Tix to Anjelah Johnson @ Tommy T's,2 VIP tix and post show meet and greet,Tickets ,Committed,TBD,,Anjelah Johnson and Tommy Ts ,Leah Lee,,Tommy T's in Pleasanton 12/20-12/23 & 12/28-12/31 meet and greet not yet,
15,DJ Services by PunkPhunk,DJ Services by PunkPhunk,Service,Committed,TBD,,Miguel Maldonado,Leah Lee,03-22-2018,,
,Capitola Candy Company,gift certificate,,Committed,,,,Susan Hill,05-25-2018,,
94,Corralitos Market/Meat,gift certificate,,committed,,,,Susan Hill,04-29-2018,,
,Rent the Runway,,,declined,,,,Jennifer Bodily,,,
40,JetBlue Airlines,2 Round trip travel vouchers,service,Declined,TBA,no,JetBlue Airlines,Julie Ott,04-09-2018,,
,Sushi Confidenial Party for 30,Sushi Confidential ,Service ,Declined,3000,,Sushi Confidential- Randy Musterer,Leah Lee,,Sushi Confidential went under patio construction are no longer giving out donations for 2018,
82,DeYoung Museum,,Tickets,Declined,,,,Maria Magallon,04-20-18,,
,Disneyland,,,Declined,,,,Maria Magallon,,,
37,Debrito Chocolates/candied Apples,,,Declined,,,,Nicole,4-6-18,,
30,MJA Vineyard,,,Declined,,,,Susan Hill,04-04-2018,,
,Roaring Camp,only to groups in Santa Cruz County per website,,declined,,,,Susan Hill,,,
95,Toadal Fitness,only 2 week membership so I declined,,declined,,,,Susan Hill,04-30-2018,,
,Lisa's Tea treasures,,,declined,,,,Susan Hill,06-13-2018,,
13,Classic Car Wash - Express Exterior Supreme Wash,Classic Car Wash - Express Exterior Supreme Wash,Gift Card,Received,16,no,Classic Car Wash,Chris Worrall,03-22-2018,,
19,$100 to Hair's Inn,$100 to Hair's Inn,Gift Card,Received,100,,Hair's Inn,"Elkin, Elaine",,,
32,2010 Groth Cabernet Sauvignon,2010 Groth Cabernet Sauvignon,Wine,Received,65,,George Kahwaty,George Kahwaty,,,
33,2012 Mount Eden Vineyards Cabernet Sauvignon,2012 Mount Eden Vineyards Cabernet Sauvignon,Wine,Received,80,,George Kahwaty,George Kahwaty,,,
20,$25 Gift Card to Flower-Flour,$25 Gift Card to Flower-Flour,Gift Card,Received,25,,Fower-Flour,Gift Gather,,,
21,$25 Gift Card to Flower-Flour,$25 Gift Card to Flower-Flour,Gift Card,Received,25,,Aimee Adamos,Gift Gather,,,
27,$50 Amazon Gift Card,$50 Amazon Gift Card,Gift Card,Received,50,,Janine Oropeza,Gift Gather,,,
31,$50 Bed Bath & Beyond Gift Card,$50 Bed Bath & Beyond Gift Card,Gift Card,Received,50,,Janine Oropeza,Gift Gather,,,
28,$50 Home Depot Gift Card,$50 Home Depot Gift Card,Gift Card,Received,50,,Janine Oropeza,Gift Gather,,,
16,$50 La Foret Gift Card,$50 La Foret Gift Card,Gift Card,Received,50,,Leigh Ann & Michael Tierney,Gift Gather,,,
17,$50 La Foret Gift Card,$50 La Foret Gift Card,Gift Card,Received,50,,Leigh Ann & Michael Tierney,Gift Gather,,,
25,2 Sharks Games for Two,Two sets (of two tickets) to San Jose Sharks game at the SAP Area for the 2018-2019 Season.,Tickets,Received,300,,Linda Fenn,Gift Gather,,,
22,2012 CLos De La Tech Pinot Noir,2012 CLos De La Tech Pinot Noir,Wine,Received,85,,Chris Wilder,Gift Gather,,,
38,2012 Reynolds Family Winery Pinot Noir,2012 Reynolds Family Winery Pinot Noir,Wine,Received,50,,Michelle Tipton-Burton,Gift Gather,,,
30,2015 Smith Story Sauvignon Blanc,2015 Smith Story Sauvignon Blanc,Wine,Received,30,,Janine Oropeza,Gift Gather,,,
29,2016 Luli Sauviignon Blanc,2016 luli sauviignon blanc,Wine,Received,20,,Janine Oropeza,Gift Gather,,,
26,2016 Sonoma-Cutrer Chardonnay,2016 Sonoma-Cutrer Chardonnay,Wine,Received,20,,Janine Oropeza,Gift Gather,,,
23,3-Hour Painting Lesson for Two,"Includes: Paints (oil or acrylic), Canvas, Brushes, Easel, Etc.",Service,Received,250,,Deen Garcia,Gift Gather,,,
37,5 Months of Free Lessons at Guitar Center,5 Months of Free Lessons at Guitar Center,Activity,Received,500,,Greg Price,Gift Gather,,,
18,Bottle of Remy Martin,750ML,Item,Received,65,,Huy Tran,Gift Gather,,,
24,Facial Botox Treatment,Facial Botox Treatment from Dr. Melody Lynd after evaluation.,Service,Received,850,,"Meoldy Lynd, MD",Gift Gather,,,
36,Fender Squire Telecaster Guitar,Fender Squire Telecaster Guitar,Item,Received,300,,Greg Price,Gift Gather,,,
34,Homedics All Body Massage Pro,Cordless Shiatsu Massager with heat,Item,Received,55,,Nancy Liu,Gift Gather,,,
35,Homedics All Body Massage Pro,Cordless Shiatsu Massager with heat,Item,Received,55,,Nancy Liu,Gift Gather,,,
,Petite Auberge Inn,One NIght Stay,,Received,350,,Petite Auberge Inn,Gift Gather,6/5/18,,
39,Tattinger Champagne,Tattinger Champagne,Wine,Received,50,,Christina Egan,Gift Gather,,,
,White Swan Inn,One NIght Stay,,Received,400,,White Swan Inn,Gift Gather,06-05-2018,,
,$50 Zanotto's Family Market,$50 Zanotto's gift card,item,Received,50,no,Fred Zanotto,Jennifer Bodily,,,
,Jennifer Bodily,2 tier cake,,Received,300,No,Jennifer Bodily,Jennifer Bodily,,,
4,$100 The Bywater Gift Card,$100 to The Bywater in Los Gatos,Gift Card,Received,100,no,Janet Walworth,Julie Ott,03-21-2018,,
10,$25 Gordon Biersch Gift Card,$25 Gordon Biersch Gift Card,Gift Card,Received,25,no,Gerald Simmons,Julie Ott,03-21-2018,,
3,$50 Nordstrom Gift Card,$50 Nordstrom Gift Card,Gift Card,Received,50,no,Janine Oropeza,Julie Ott,03-21-2018,,
6,$75 Antipastos by DeRose Gift Card,$75 to Antipastos in San Jose,Gift Card,Received,75,no,Patrick Love,Julie Ott,03-21-2018,,
18,$75 St. Michael's Alley Gift Card,$75 to St. Michael's Alley in Palo Alto,Gift Card,Received,75,no,Janet Walworth,Julie Ott,04-03-2018,,
96,2 Hour on-line Guitar Lessons,2 Hour online guitar lessons with Mark Altekruse,activity,Received,80,no,Mark Altekruse,Julie Ott,5/1/2018,,
17,2 Roundtrip Tickets on Southwest Airlines,2 Roundtrip Tickets on Southwest Airlines,Service,Received,800,no,Southwest Airlines,Julie Ott,04-03-2018,,
1,Jaybird Freedom Bluetooth Headphones,Carbon Color Jaybird F5 Freedom Wireless Bluetooth Headphones,Item,Received,150,no,Jaybird Wireless,Julie Ott,03-21-2018,,
2,Jaybird X3 Bluetooth Headphones,Jaybird X3 Bluetooth wireless headphones - color: blackout,Item,Received,130,no,Jaybird Wireless,Julie Ott,03-21-2018,,
14,Studio by Terra Amico - Event Space,"Exclusive use of Event Venue - Studio By Terra Amico
460 Lincoln ave.
San Jose, CA 95125",Service,Received,8000,no,Terra Amico Salvaged Wood Furniture,Julie Ott,03-22-2018,,TRUE
19,Wilder Wine Tasting Tour,Exclusive tour of the Santa Cruz Mountain wine region,Service,Received,600,no,Chris Wilder,Julie Ott,04-03-2018,,
7,$50 Hong's Gourmet Gift Card,$50 to Hong's in Saratoga,Gift Card,Received,50,no,Hong's Gourmet,Karen Roberts,03-21-2018,,
9,$70 Mio Vicino Gift Certificate,$70 to Mio Vicino in Saratoga,Gift Card,Received,70,no,Mio Vicino,Karen Roberts,03-21-2018,,
,Effy 14K Tri Color Gold Diamond Necklace,Effy 14K Tri Color Gold Diamond Necklace,Item,Received,1395,,Effy Jewelry & Co.,Karen Roberts,5/9/2018,,
,$25 Noodles & Company Giftcard,,,Received,25,,,Kristine von Holtz,06-05-2018,,
,2016 La Granja Tempranillo,,Wine,Received,10,,,Kristine von Holtz,06-05-2018,,
,Classic Kids Photography- pet session,pet photo session ,Service ,Received,465,,Lynn Miano ,Leah Lee,,,
,Classic Kids Photography childrens session,childrens photo session ,Service ,Received,295,,Lynn Miano ,Leah Lee,,,
,Taco Fly Co. Fishing rentals and instructor,Fly fishing rentals and instructor in the Russian River area,Gift Card ,Received,450,,Taco Fly Co.-Mario Guel ,Leah Lee,,,
,LGBG ,Bottle Service ,Gift Card ,Received,250,,LGBG- Noah Pricolo ,Leah Lee,,,
8,$50 Rookies Gift Card,$50 to Rookies in Willow Glen,Gift Card,Received,50,,Rookie's,Leah Lee,03-21-2018,,
5,$200 Rosy's at the Beach Gift Card,$200 for Rosy's at the Beach in Morgan Hill,Gift Card,Received,200,,Anita & Paul Lorenz,"Lorenz, Anita & Paul",,,
66,Aqui's,4 Gift Certificate,Gift Card,received,60,no,Aqui Cal-Mex,Maria Magallon,04-17-2018,,
68,Bills Cafe,Gift Card for $50,Gift Card,Received,50,no,Bills Cafe,Maria Magallon,04-17-2018,,
81,California Academy of Science,Four admission tickets,Tickets,Received,,,,Maria Magallon,04-20-2018,,
45,KRTY - Radio station,Air time and Guest Hosting,activity,Received,pricelss,,Empirebroadcasting,Nicole,04-11-2018,,
59,Rick Steves Travel company ,Autographed travel guide ,Item,Received,$24.99,no,Rick Steves Travel,Nicole,04-12-2018,,
72,Big Foot Museum,campfire stories,,Received,90,,,Susan Hill,04-18-2018,,
,Craft Gallery in Captola,gift certificate,,Received,30,,,Susan Hill,05-25-2018,,
,Equinox,tasting for 8,,Received,200,,,Susan Hill,06-02-2018,,
97,Hair By Jamie,Haircut,Service,Received,95,no,Jamie Ivan,Susan Hill,5/1/2018,,
71,Heartshare,cpr classes for 4 people,Gift Card,Received,260,no,Heartshare Training Services,Susan Hill,04-18-2018,,
24,Midtown Guitar Santa Cruz,Musical Merchandise,item,Received,100,,Midtown Guitar,Susan Hill,04-04-2018,,
73,Palomar Ballroom,4 weeks lessons,,Received,72,,,Susan Hill,04-19-2018,,
20,Phlex 65,5 hours senior care *interested in a table*,service,received,200,no,Ana Jones,Susan Hill,04-03-2018,,
39,San Jose Museum of Quilts/ Susan Else,membership + artists tour of final project @VMC,,Received,300,,,Susan Hill,04-09-2018,,
,Santa Cruz Boat Rental/Capitola Boat & Bait,Boat rental,,Received,125,,Frank Ealy,Susan Hill,05-25-2018,,
16,Santa Cruz Museum of Natural History Family Pass,Santa Cruz Museum of Natural History Family Pass,Gift Card,Received,100,no,Santa Cruz Museum of Natural History,Susan Hill,04-03-2018,,
35,Segway Santa Cruz,2 tour tickets,,Received,138,no,Segway Santa Cruz,Susan Hill,,,
38,Tahoe Cabin ,"2 nights, sleeps 6",,received,380,,B.Christensen,Susan Hill,04-07-2018,,
11,Classic Car Wash - Express Exterior Lava Wash,Classic Car Wash - Express Exterior Lava Wash,Gift Card,Received,18,,Classic Car Wash,"Worrall, Chris",,,
13,Classic Car Wash - Express Exterior Supreme Wash,Classic Car Wash - Express Exterior Supreme Wash,Gift Card,Received,16,,,"Worrall, Chris",,,
,Coterie Winery,,,solicited,,,,Jennifer Bodily,,,
,Luna Mexican Cuisine,,,solicited,,,,Jennifer Bodily,,,
,Orchard Supply Hardware,,,solicited,,,,Jennifer Bodily,,,
,Park Station Hashery,,,solicited,,,,Jennifer Bodily,,,
,Tiffany & Co,,,solicited,,,,Jennifer Bodily,,,
,Fogel de Choa,Fogel de Choa,,Solicited,,,,Karen Roberts,,,
,KD Designs,KD Designs,,Solicited,,,Ken and Josie Dallinger,Karen Roberts,,,
,Lali Jewerly,Lali Jewerly,,Solicited,,,,Karen Roberts,,,
,Levian,Levian,,Solicited,,,,Karen Roberts,,,
,Alexanders Steakhouse ,Alexanders Steakhouse ,Gift Card ,Solicited,200,,Alexanders Steakhouse ,Leah Lee,,,
86,49er's,,,solicited,,,,Maria Magallon,04-20-2018,,
99,AVAC,Membership,,solicited,,,,maria Magallon,05-03-2018,,
,Bay Area Skydiving,,,solicited,,,,Maria Magallon,,,
,Blue and Gold Fleet,,,solicited,,,,Maria Magallon,,,
77,Capitol Buick GMC Attn: Sales Manager,,Car/Service,solicited,,,,Maria Magallon,04-20-2018,,
78,Capitol Chevrolet ,,Car,solicited,,,,Maria Magallon,04-20-2018,,
90,Children Musical Theater,,Tickets,solicited,,,,Maria Magallon,04-26-18,,
101,Clubsport,,,solicited,,,,Maria Magallon,05-03-2018,,
83,Coyote Creek Golf Club,,,solicited,,,,Maria Magallon,04-20-2018,,
,Cypress Inn Carmel,,,solicited,,,,Maria Magallon,05-17-18,,
,DeAnza Hotel,,,solicited,,,,Maria Magallon,05-30-2018,,
,Dragon Theater,,,solicited,,,,Maria Magallon,05-30-2018,,
,Duckhorn Vineyards,,,solicited,,,,Maria Magallon,05-31-2018,,
,Fairmont Sonoma Mission Inn & Spa,Staycation and Spa,,solicited,,,,Maria Magallon,05-31-2018,,
,Fandango,Movie Tickets,,solicited,,,,Maria Magallon,05-31-2018,,
87,Golden State Warriors,,,solicited,,,,Maria Magallon,04-20-2018,,
79,Great America,,Tickets,solicited,,,,Maria Magallon,04-20-2018,,
,Hard Rock Hotel and Casino,,,solicited,,,,Maria Magallon,05-31-2018,,
,Incredible Adventures,,,solicited,,,,Maria Magallon,05-31-2018,,
67,J. Lohr Winery,,,Solicited,,,,Maria Magallon,04-17-2018,,
,LaPlaya Carmel,,,solicited,,,,Maria Magallon,05-17-2018,,
,Meadowood Napa Valley,Staycation,,solicited,,,,Maria Magallon,05-30-18,,
,Monterey Bay Kayaks,,,solicited,,,,Maria Magallon,05-30-2018,,
,Napa River Inn,Staycation,,solicited,,,,Maria Magallon,05-31-2018,,
,Napa Valley Wine Train,Wine Train tour,,solicited,,,,Maria Magallon,05-31-2018,,
,Raging Water,,,solicited,,,,Maria Magallon,05-30-2018,,
100,Retro Fitness,,,solicited,,,,maria Magallon,05-03-2018,,
,Ritz Carlton Half Moon Bay,Staycation,,solicited,,,,Maria Magallon,05-30-2018,,
91,San Jose Dance Theater,,Tickets,solicited,,,,Maria Magallon,04-26-2018,,
84,Santa Cruz Beach Boardwalk,,tickets,solicited,,,,maria Magallon,04-20-2018,,
92,Scotts Seafood Restaurant,,Certificate,solicited,,,,Maria Magallon,04-26-2018,,
85,Silvercreek Sportsplex,,,solicited,,,,maria Magallon,04-20-2018,,
80,Six Flags Discovery Kingdom,,Tickets,solicited,,,,Maria Magallon,04-20-2018,,
,Skydive Surf City,,,solicited,,,,Maria Magallon,,,
53,Beach Blanet Babaylon,,,Solicited,,,,Nicole,04-11-2018,,
47,Bowlero - Bowling Events,,activity,Solicited,,,,Nicole,04-11-2018,,
44,Cinelux Theaters,,,Solicited,,,,Nicole,04-11-2018,,
51,Flint Center Cupertino ,,,Solicited,,,,Nicole,04-11-2018,,
46,Honda of Morgan HIll,,,Solicited,,,,Nicole,04/11/18,,
36,Martinellis,,,Solicited,,,,Nicole,4-6-18,,
48,Monterery Bay aquarium,,,Solicited,,,,Nicole,04-11-2018,,
54,Russian river Adventures,,activity,Solicited,,,,Nicole,04-11-2018,,
50,SAN FRAN GIANTS,Signed items no tixs for auctions when you request from sfGiants,item,Solicited,,,,Nicole,04-11-2018,,
52,Symphony Silicon Valley,,,Solicited,,,,Nicole,04-11-2018,,
31,Santa Cruz Fire Dept,lunch with the firefighters/4-29 Jonah 831 234 9272 f/u 2 wks,,Solicited,priceless,,,Suan Hill,04-05-2018,,
